first,second
er,verfiel
verfiel,in
in,eine
eine,lange
lange,träumerei
träumerei,er
er,holte
holte,das
das,schaf
schaf,aus
aus,seiner
seiner,tasche
tasche,und
und,bewunderte
bewunderte,lange
lange,zeit
zeit,seinen
seinen,schatz
schatz,ihr
ihr,könnt
könnt,euch
euch,vorstellen
vorstellen,wie
wie,sehr
sehr,es
es,mich
mich,beschäftigte
beschäftigte,was
was,er
er,mir
mir,über
über,die
die,anderen
anderen,planeten
planeten,schon
schon,halb
halb,anvertraut
anvertraut,hatte
hatte,so
so,strengte
strengte,ich
ich,mich
mich,an
an,mehr
mehr,darüber
darüber,zu
zu,erfahren
erfahren,woher
woher,kommst
kommst,du
du,kleiner
kleiner,kerl
kerl,wo
wo,ist
ist,dein
dein,zuhause
zuhause,wohin
wohin,willst
willst,du
du,mein
mein,schaf
schaf,mitnehmen
mitnehmen,er
er,antwortete
antwortete,mir
mir,nach
nach,einem
einem,nachdenklichen
nachdenklichen,schweigen
schweigen,das
das,gute
gute,an
an,der
der,kiste
kiste,die
die,du
du,mir
mir,gegeben
gegeben,hast
hast,ist
ist,dass
dass,sie
sie,ihm
ihm,als
als,haus
haus,dienen
dienen,wird
wird,in
in,der
der,nacht
nacht,ganz
ganz,bestimmt
bestimmt,und
und,wenn
wenn,du
du,nett
nett,bist
bist,gebe
gebe,ich
ich,dir
dir,auch
auch,einenstrick
einenstrick,um
um,es
es,nachts
nachts,festzubinden
festzubinden,und
und,einen
einen,pflock
pflock,dieser
dieser,vorschlag
vorschlag,schien
schien,den
den,kleinen
kleinen,prinzen
prinzen,zu
zu,schockieren
schockieren,es
es,festbinden
festbinden,was
was,für
für,eine
eine,merkwürdige
merkwürdige,idee
idee,aber
aber,wenn
wenn,du
du,es
es,nicht
nicht,festbindest
festbindest,kann
kann,es
es,überall
überall,hingehen
hingehen,und
und,sich
sich,verlaufen
verlaufen,erneut
erneut,brach
brach,mein
mein,freund
freund,in
in,lachen
lachen,aus
aus,aber
aber,wohin
wohin,soll
soll,es
es,denn
denn,deiner
deiner,meinung
meinung,nach
nach,gehen
gehen,egal
egal,wohin
wohin,einfach
einfach,geradeaus
geradeaus,im
im,ernsten
ernsten,ton
ton,bemerkte
bemerkte,der
der,kleine
kleine,prinz
prinz,das
das,macht
macht,nichts
nichts,es
es,ist
ist,so
so,klein
klein,bei
bei,mir
mir,und
und,vielleicht
vielleicht,ein
ein,bisschen
bisschen,traurig
traurig,fügte
fügte,er
er,hinzu
hinzu,geradeaus
geradeaus,kommt
kommt,man
man,nicht
nicht,besonders
besonders,weit
weit,so
so,lernte
lernte,ich
ich,eine
eine,zweite
zweite,wichtige
wichtige,sache
sache,sein
sein,heimatplanet
heimatplanet,war
war,kaum
kaum,größer
größer,als
als,ein
ein,haus
haus,das
das,wunderte
wunderte,mich
mich,nicht
nicht,ich
ich,wusste
wusste,genau
genau,dass
dass,es
es,neben
neben,den
den,großen
großen,planeten
planeten,wie
wie,der
der,erde
erde,dem
dem,jupiter
jupiter,dem
dem,mars
mars,oder
oder,der
der,venus
venus,denen
denen,wir
wir,namen
namen,gegeben
gegeben,hatten
hatten,noch
noch,hunderte
hunderte,anderer
anderer,planeten
planeten,gibt
gibt,die
die,manchmal
manchmal,so
so,klein
klein,sind
sind,dass
dass,man
man,sie
sie,selbst
selbst,durch
durch,ein
ein,teleskop
teleskop,kaum
kaum,erkennen
erkennen,kann
kann,wenn
wenn,ein
ein,astronom
astronom,einen
einen,von
von,ihnen
ihnen,entdeckt
entdeckt,so
so,gibt
gibt,er
er,ihm
ihm,eine
eine,nummer
nummer,anstelle
anstelle,eines
eines,namens
namens,er
er,nennt
nennt,ihn
ihn,zum
zum,beispiel
beispiel,asteroid
asteroid,ich
ich,habe
habe,ernstzunehmende
ernstzunehmende,gründe
gründe,zu
zu,glauben
glauben,dass
dass,der
der,heimatplanet
heimatplanet,des
des,kleinen
kleinen,prinzen
prinzen,der
der,asteroid
asteroid,b
b,ist
ist,nur
nur,ein
ein,einziges
einziges,mal
mal,im
im,jahre
jahre,hat
hat,ein
ein,türkischer
türkischer,astronom
astronom,diesen
diesen,asteroiden
asteroiden,durch
durch,sein
sein,fernrohr
fernrohr,gesehen
gesehen,seine
seine,entdeckung
entdeckung,hatte
hatte,er
er,bei
bei,einem
einem,internationalen
internationalen,astronomiekongress
astronomiekongress,vorgeführt
vorgeführt,aber
aber,wegen
wegen,seiner
seiner,traditionellen
traditionellen,tracht
tracht,hatte
hatte,ihm
ihm,niemand
niemand,glauben
glauben,wollen
wollen,so
so,sind
sind,die
die,erwachsenen
erwachsenen,zum
zum,glück
glück,für
für,den
den,asteroiden
asteroiden,b
b,zwang
zwang,ein
ein,türkischer
türkischer,diktator
diktator,sein
sein,volk
volk,unter
unter,androhung
androhung,der
der,todesstrafe
todesstrafe,sich
sich,nach
nach,europäischer
europäischer,art
art,zu
zu,kleiden
kleiden,so
so,wiederholte
wiederholte,der
der,astronom
astronom,in
in,sehr
sehr,eleganter
eleganter,kleidung
kleidung,seine
seine,vorführung
vorführung,im
im,jahre
jahre,und
und,dieses
dieses,mal
mal,waren
waren,alle
alle,seiner
seiner,meinung
meinung,wenn
wenn,ich
ich,euch
euch,diese
diese,details
details,über
über,den
den,asteroiden
asteroiden,b
b,erzähle
erzähle,und
und,seine
seine,nummer
nummer,verraten
verraten,habe
habe,dann
dann,wegen
wegen,der
der,erwachsenen
erwachsenen,erwachsene
erwachsene,lieben
lieben,zahlen
zahlen,erzählt
erzählt,ihr
ihr,ihnen
ihnen,von
von,einem
einem,neuen
neuen,freund
freund,stellen
stellen,sie
sie,euch
euch,nie
nie,fragen
fragen,über
über,das
das,wesentliche
wesentliche,sie
sie,sagen
sagen,niemals
niemals,wie
wie,klingt
klingt,seine
seine,stimme
stimme,was
was,sind
sind,seine
seine,lieblingsspiele
lieblingsspiele,sammelt
sammelt,er
er,schmetterlinge
schmetterlinge,sie
sie,fragen
fragen,euch
euch,wie
wie,alt
alt,ist
ist,er
er,wie
wie,viele
viele,geschwister
geschwister,hat
hat,er
er,wie
wie,viel
viel,wiegt
wiegt,er
er,wie
wie,viel
viel,verdient
verdient,sein
sein,vater
vater,damit
damit,glauben
glauben,sie
sie,ihn
ihn,zu
zu,kennen
kennen,erzählt
erzählt,ihr
ihr,den
den,erwachsenen
erwachsenen,ich
ich,habe
habe,ein
ein,schönes
schönes,haus
haus,aus
aus,roten
roten,ziegelsteinen
ziegelsteinen,gesehen
gesehen,mit
mit,geranien
geranien,vor
vor,den
den,fenstern
fenstern,und
und,tauben
tauben,auf
auf,dem
dem,dach
dach,dann
dann,gelingt
gelingt,es
es,ihnen
ihnen,nicht
nicht,sich
sich,dieses
dieses,haus
haus,vorzustellen
vorzustellen,man
man,muss
muss,ihnen
ihnen,sagen
sagen,ich
ich,habe
habe,ein
ein,haus
haus,gesehen
gesehen,dass
dass,hunderttausend
hunderttausend,francs
francs,wert
wert,ist
ist,dann
dann,rufen
rufen,sie
sie,erfreut
erfreut,oh
oh,wie
wie,schön
schön,wenn
wenn,ihr
ihr,ihnen
ihnen,also
also,sagt
sagt,der
der,beweis
beweis,dafür
dafür,dass
dass,es
es,den
den,kleinen
kleinen,prinzen
prinzen,wirklich
wirklich,gegeben
gegeben,hat
hat,liegt
liegt,darin
darin,dass
dass,er
er,bezaubernd
bezaubernd,war
war,dass
dass,er
er,lachte
lachte,und
und,dass
dass,er
er,sich
sich,ein
ein,schaf
schaf,wünschte
wünschte,wenn
wenn,man
man,ein
ein,schaf
schaf,möchte
möchte,beweist
beweist,das
das,doch
doch,dass
dass,es
es,einen
einen,gibt
gibt,dann
dann,werden
werden,sie
sie,mit
mit,den
den,schultern
schultern,zucken
zucken,und
und,euch
euch,wie
wie,ein
ein,kind
kind,behandeln
behandeln,sagt
sagt,ihr
ihr,ihnen
ihnen,aber
aber,sein
sein,heimatplanet
heimatplanet,ist
ist,der
der,asteroid
asteroid,b
b,dann
dann,werden
werden,sie
sie,überzeugt
überzeugt,sein
sein,und
und,euch
euch,in
in,ruhe
ruhe,lassen
lassen,mit
mit,ihren
ihren,fragen
fragen,so
so,sind
sind,sie
sie,man
man,darf
darf,ihnen
ihnen,deswegen
