trigram,freq
"('zu', 'einem', 'brunnen')",2
"('einem', 'brunnen', 'laufen')",2
"('ach', 'sagte', 'ich')",2
"('zu', 'trinken', 'und')",2
"('trinken', 'und', 'ich')",2
"('sagte', 'ich', 'mir')",2
"('er', 'antwortete', 'nicht')",2
"('antwortete', 'nicht', 'auf')",2
"('nicht', 'auf', 'meine')",2
"('meine', 'frage', 'er')",2
"('frage', 'er', 'sagte')",2
"('nicht', 'und', 'ich')",2
"('ich', 'schwieg', 'ich')",2
"('er', 'setzte', 'sich')",2
"('setzte', 'sich', 'hin')",2
"('ich', 'setzte', 'mich')",2
"('und', 'nach', 'einem')",2
"('stille', 'sagte', 'er')",2
"('ich', 'habe', 'die')",2
"('als', 'ich', 'ein')",2
"('ich', 'ein', 'kleiner')",2
"('kleiner', 'junge', 'war')",2
"('er', 'fügte', 'hinzu')",2
"('so', 'aus', 'wie')",2
"('ist', 'zu', 'schwer')",2
"('und', 'ich', 'verstand')",2
"('antwortete', 'ich', 'und')",2
"('sehen', 'ein', 'bisschen')",2
"('und', 'wieder', 'lachte')",2
"('herz', 'zog', 'sich')",2
"('er', 'sagte', 'weißt')",2
"('sagte', 'weißt', 'du')",2
"('kleine', 'prinz', 'errötete')",2
"('natürlich', 'du', 'wirst')",2
"('ich', 'fühlte', 'wie')",2
"('er', 'hatte', 'angst')",2
"('in', 'dieser', 'nacht')",2
"('mein', 'stern', 'wird')",2
"('natürlich', 'es', 'ist')",2
"('ist', 'so', 'wie')",2
"('so', 'wie', 'mit')",2
"('nachts', 'in', 'den')",2
"('wie', 'mit', 'dem')",2
"('mit', 'dem', 'wasser')",2
"('dem', 'wasser', 'was')",2
"('für', 'dich', 'sein')",2
"('werde', 'ich', 'dir')",2
"('sein', 'es', 'wird')",2
"('du', 'wirst', 'sterne')",2
"('wirst', 'sterne', 'haben')",2
"('weil', 'ich', 'auf')",2
"('ich', 'auf', 'einem')",2
"('auf', 'einem', 'von')",2
"('einem', 'von', 'ihnen')",2
"('die', 'lachen', 'können')",2
"('sein', 'du', 'wirst')",2
"('als', 'hätte', 'ich')",2
"('so', 'aussehen', 'als')",2
"('alle', 'sterne', 'werden')",2
"('fünfhundert', 'millionen', 'glöckchen')",2
"('sie', 'ist', 'so')",2
"('auf', 'seinem', 'planeten')",2
"('hat', 'das', 'schaf')",2
"('die', 'blume', 'gefressen')",2
"('mal', 'sage', 'ich')",2
"('sage', 'ich', 'mir')",2
"('alt', 'war', 'habe')",1
"('war', 'habe', 'ich')",1
"('habe', 'ich', 'in')",1
"('in', 'einem', 'buch')",1
"('einem', 'buch', 'über')",1
"('buch', 'über', 'den')",1
"('über', 'den', 'urwald')",1
"('den', 'urwald', 'das')",1
"('urwald', 'das', 'den')",1
"('das', 'den', 'titel')",1
"('den', 'titel', 'erlebte')",1
"('titel', 'erlebte', 'geschichten')",1
"('erlebte', 'geschichten', 'trug')",1
"('geschichten', 'trug', 'das')",1
"('trug', 'das', 'erste')",1
"('erste', 'mal', 'ein')",1
"('mal', 'ein', 'wunderschönes')",1
"('ein', 'wunderschönes', 'bild')",1
"('wunderschönes', 'bild', 'gesehen')",1
"('bild', 'gesehen', 'es')",1
"('gesehen', 'es', 'zeigte')",1
"('riesenschlange', 'die', 'ein')",1
"('die', 'ein', 'wildes')",1
"('ein', 'wildes', 'tier')",1
"('wildes', 'tier', 'verschlingt')",1
"('tier', 'verschlingt', 'hier')",1
"('verschlingt', 'hier', 'ist')",1
"('hier', 'ist', 'das')",1
"('das', 'bild', 'mal')",1
"('bild', 'mal', 'nachgezeichnet')",1
"('mal', 'nachgezeichnet', 'im')",1
"('nachgezeichnet', 'im', 'buch')",1
"('im', 'buch', 'hieß')",1
"('buch', 'hieß', 'es')",1
"('hieß', 'es', 'riesenschlangen')",1
"('es', 'riesenschlangen', 'verschlingen')",1
"('riesenschlangen', 'verschlingen', 'ihre')",1
"('verschlingen', 'ihre', 'beute')",1
"('ihre', 'beute', 'in')",1
"('beute', 'in', 'einem')",1
"('in', 'einem', 'stück')",1
"('einem', 'stück', 'ohne')",1
"('stück', 'ohne', 'sie')",1
"('ohne', 'sie', 'zu')",1
"('sie', 'zu', 'zerkauen')",1
"('zu', 'zerkauen', 'danach')",1
"('zerkauen', 'danach', 'können')",1
"('danach', 'können', 'sie')",1
"('können', 'sie', 'sich')",1
"('sie', 'sich', 'nicht')",1
"('sich', 'nicht', 'mehr')",1
"('nicht', 'mehr', 'bewegen')",1
"('mehr', 'bewegen', 'und')",1
"('bewegen', 'und', 'halten')",1
"('und', 'halten', 'sechs')",1
"('halten', 'sechs', 'monate')",1
"('sechs', 'monate', 'lang')",1
"('monate', 'lang', 'verdauungsschlaf')",1
"('lang', 'verdauungsschlaf', 'so')",1
"('verdauungsschlaf', 'so', 'habe')",1
"('habe', 'ich', 'viel')",1
"('ich', 'viel', 'über')",1
"('viel', 'über', 'dschungelabenteuer')",1
"('über', 'dschungelabenteuer', 'nachgedacht')",1
"('dschungelabenteuer', 'nachgedacht', 'und')",1
"('nachgedacht', 'und', 'dann')",1
"('und', 'dann', 'gelang')",1
"('dann', 'gelang', 'mir')",1
"('gelang', 'mir', 'mit')",1
"('mir', 'mit', 'einem')",1
"('mit', 'einem', 'farbstift')",1
"('einem', 'farbstift', 'meine')",1
"('farbstift', 'meine', 'zeichnung')",1
"('zeichnung', 'nr', 'sie')",1
"('nr', 'sie', 'sah')",1
"('sie', 'sah', 'so')",1
"('so', 'aus', 'ich')",1
"('aus', 'ich', 'zeigte')",1
"('ich', 'zeigte', 'mein')",1
"('zeigte', 'mein', 'meisterwerk')",1
"('mein', 'meisterwerk', 'den')",1
"('meisterwerk', 'den', 'erwachsenen')",1
"('den', 'erwachsenen', 'und')",1
"('erwachsenen', 'und', 'habe')",1
"('und', 'habe', 'sie')",1
"('habe', 'sie', 'gefragt')",1
"('sie', 'gefragt', 'ob')",1
"('gefragt', 'ob', 'sie')",1
"('ob', 'sie', 'vor')",1
"('sie', 'vor', 'meiner')",1
"('vor', 'meiner', 'zeichnung')",1
"('meiner', 'zeichnung', 'angst')",1
"('zeichnung', 'angst', 'hätten')",1
"('angst', 'hätten', 'sie')",1
"('hätten', 'sie', 'haben')",1
"('sie', 'haben', 'mir')",1
"('haben', 'mir', 'geantwortet')",1
"('mir', 'geantwortet', 'warum')",1
"('geantwortet', 'warum', 'sollte')",1
"('warum', 'sollte', 'man')",1
"('sollte', 'man', 'vor')",1
"('man', 'vor', 'einem')",1
"('vor', 'einem', 'hut')",1
"('einem', 'hut', 'angst')",1
"('hut', 'angst', 'haben')",1
"('angst', 'haben', 'dabei')",1
"('haben', 'dabei', 'war')",1
"('dabei', 'war', 'auf')",1
"('war', 'auf', 'meinem')",1
"('auf', 'meinem', 'bild')",1
"('meinem', 'bild', 'gar')",1
"('bild', 'gar', 'kein')",1
"('gar', 'kein', 'hut')",1
"('kein', 'hut', 'es')",1
"('hut', 'es', 'zeigte')",1
"('riesenschlange', 'die', 'einen')",1
"('die', 'einen', 'elefanten')",1
"('einen', 'elefanten', 'verdaut')",1
"('elefanten', 'verdaut', 'so')",1
"('verdaut', 'so', 'habe')",1
"('ich', 'also', 'das')",1
"('also', 'das', 'innere')",1
"('das', 'innere', 'der')",1
"('innere', 'der', 'schlage')",1
"('der', 'schlage', 'gezeichnet')",1
"('schlage', 'gezeichnet', 'um')",1
"('gezeichnet', 'um', 'es')",1
"('um', 'es', 'den')",1
"('es', 'den', 'großen')",1
"('den', 'großen', 'verständlich')",1
"('großen', 'verständlich', 'zu')",1
"('verständlich', 'zu', 'machen')",1
"('zu', 'machen', 'immer')",1
"('machen', 'immer', 'muss')",1
"('immer', 'muss', 'man')",1
"('muss', 'man', 'ihnen')",1
"('man', 'ihnen', 'alles')",1
"('ihnen', 'alles', 'erklären')",1
"('alles', 'erklären', 'meine')",1
"('erklären', 'meine', 'zeichnung')",1
"('zeichnung', 'nr', 'sah')",1
"('nr', 'sah', 'so')",1
"('so', 'aus', 'die')",1
"('aus', 'die', 'erwachsenen')",1
