quadrigram,freq
"('geografie', 'geschichte', 'mathe', 'und')",1
"('geschichte', 'mathe', 'und', 'grammatik')",1
"('mathe', 'und', 'grammatik', 'zu')",1
"('und', 'grammatik', 'zu', 'interessieren')",1
"('grammatik', 'zu', 'interessieren', 'so')",1
"('zu', 'interessieren', 'so', 'gab')",1
"('interessieren', 'so', 'gab', 'ich')",1
"('so', 'gab', 'ich', 'mit')",1
"('gab', 'ich', 'mit', 'sechs')",1
"('ich', 'mit', 'sechs', 'jahren')",1
"('mit', 'sechs', 'jahren', 'meine')",1
"('sechs', 'jahren', 'meine', 'vielversprechende')",1
"('jahren', 'meine', 'vielversprechende', 'malerkarriere')",1
"('meine', 'vielversprechende', 'malerkarriere', 'auf')",1
"('vielversprechende', 'malerkarriere', 'auf', 'derart')",1
"('malerkarriere', 'auf', 'derart', 'entmutigt')",1
"('auf', 'derart', 'entmutigt', 'war')",1
"('derart', 'entmutigt', 'war', 'ich')",1
"('entmutigt', 'war', 'ich', 'vom')",1
"('war', 'ich', 'vom', 'misserfolg')",1
"('ich', 'vom', 'misserfolg', 'meiner')",1
"('vom', 'misserfolg', 'meiner', 'zeichnungen')",1
"('misserfolg', 'meiner', 'zeichnungen', 'nr')",1
"('meiner', 'zeichnungen', 'nr', 'und')",1
"('zeichnungen', 'nr', 'und', 'nr')",1
"('nr', 'und', 'nr', 'erwachsene')",1
"('und', 'nr', 'erwachsene', 'verstehen')",1
"('nr', 'erwachsene', 'verstehen', 'nie')",1
"('erwachsene', 'verstehen', 'nie', 'etwas')",1
"('verstehen', 'nie', 'etwas', 'von')",1
"('nie', 'etwas', 'von', 'ganz')",1
"('etwas', 'von', 'ganz', 'allein')",1
"('von', 'ganz', 'allein', 'und')",1
"('ganz', 'allein', 'und', 'für')",1
"('allein', 'und', 'für', 'die')",1
"('und', 'für', 'die', 'kinder')",1
"('für', 'die', 'kinder', 'ist')",1
"('die', 'kinder', 'ist', 'es')",1
"('kinder', 'ist', 'es', 'anstrengend')",1
"('ist', 'es', 'anstrengend', 'ihnen')",1
"('es', 'anstrengend', 'ihnen', 'immer')",1
"('anstrengend', 'ihnen', 'immer', 'alles')",1
"('ihnen', 'immer', 'alles', 'zu')",1
"('immer', 'alles', 'zu', 'erklären')",1
"('alles', 'zu', 'erklären', 'so')",1
"('zu', 'erklären', 'so', 'musste')",1
"('erklären', 'so', 'musste', 'ich')",1
"('so', 'musste', 'ich', 'einen')",1
"('musste', 'ich', 'einen', 'anderen')",1
"('ich', 'einen', 'anderen', 'beruf')",1
"('einen', 'anderen', 'beruf', 'finden')",1
"('anderen', 'beruf', 'finden', 'und')",1
"('beruf', 'finden', 'und', 'ich')",1
